,group
Start,2015-01-01 00:00:00
End,2024-12-31 00:00:00
Period,2609 days 00:00:00
Start Value,1000000.0
End Value,660768.4227212002
Total Return [%],-33.923157727879975
Benchmark Return [%],0.5160899259536
Max Gross Exposure [%],103.73182484174252
Total Fees Paid,1365009.574158124
Max Drawdown [%],49.63503038798277
Max Drawdown Duration,1759 days 00:00:00
Total Trades,7713
Total Closed Trades,7713
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],47.452353169972774
Best Trade [%],30.72253324559998
Worst Trade [%],-30.374280007509835
Avg Winning Trade [%],3.1529254898384957
Avg Losing Trade [%],-3.1732420673789603
Avg Winning Trade Duration,3 days 22:06:41.311475409
Avg Losing Trade Duration,3 days 21:45:41.968911917
Profit Factor,0.962590241866987
Expectancy,-43.981794020328834
Sharpe Ratio,-0.2901342068294929
Calmar Ratio,-0.11346789297545493
Omega Ratio,0.961786306302734
Sortino Ratio,-0.4046648427949509
