date,group
2015-01-01,998800.0
2015-01-02,1003245.9618622393
2015-01-05,1001800.7207685434
2015-01-06,996263.2020742969
2015-01-07,982783.1424293655
2015-01-08,984872.3990819758
2015-01-09,979095.692116587
2015-01-12,979638.4962273989
2015-01-13,995168.8588366178
2015-01-14,989422.7901264285
2015-01-15,987414.2746900588
2015-01-16,991469.6595989931
2015-01-19,992879.5114368584
2015-01-20,973087.5289202889
2015-01-21,980815.0190177795
2015-01-22,983897.0437181903
2015-01-23,961297.3231038376
2015-01-26,952653.5136946337
2015-01-27,952787.7493808893
2015-01-28,958104.5572028307
2015-01-29,948230.3426777245
2015-01-30,947736.5993453114
2015-02-02,945520.5158671738
2015-02-03,961533.1622201531
2015-02-04,949565.5910839101
2015-02-05,951348.2819618091
2015-02-06,956001.8882556271
2015-02-09,950096.4452616095
2015-02-10,946738.4938116949
2015-02-11,942402.4351451832
2015-02-12,943384.4102452956
2015-02-13,953288.20378447
2015-02-16,956199.061191967
2015-02-17,952463.2498791423
2015-02-18,944819.1378936211
2015-02-19,947570.167085581
2015-02-20,955134.2002675454
2015-02-23,969038.701109793
2015-02-24,965595.1632202395
2015-02-25,969864.6242826721
2015-02-26,965981.899055301
2015-02-27,967181.9405149578
2015-03-02,951459.9943323401
2015-03-03,954018.8313410945
2015-03-04,952607.6938912931
2015-03-05,952387.198281556
2015-03-06,949755.0475388472
2015-03-09,950339.5192304207
2015-03-10,957732.5565373611
2015-03-11,964118.9587618387
2015-03-12,961956.8701516343
2015-03-13,963350.4607044549
2015-03-16,965136.2085939078
2015-03-17,952059.3259817264
2015-03-18,955004.9951024465
2015-03-19,958050.9195308408
2015-03-20,971855.896845296
2015-03-23,967062.2188956832
2015-03-24,974274.2789082617
2015-03-25,987392.147843302
2015-03-26,980548.2211477483
2015-03-27,980718.7502741206
2015-03-30,990180.4551730317
2015-03-31,990867.0166895847
2015-04-01,985841.1457157158
2015-04-02,986272.4969838256
2015-04-03,992103.1978376139
2015-04-06,997727.047048064
2015-04-07,1006973.6244427506
2015-04-08,999034.2215231145
2015-04-09,1025241.6911664151
2015-04-10,1008952.8526496282
2015-04-13,991877.732228531
2015-04-14,993439.4682598931
2015-04-15,987197.7198136594
2015-04-16,996907.8926528001
2015-04-17,997402.0792498206
2015-04-20,1006156.2628662814
2015-04-21,1006243.8899254075
2015-04-22,1003700.5873571145
2015-04-23,1019362.1072409004
2015-04-24,1019126.8641808385
2015-04-27,1007354.7702095304
2015-04-28,1012132.519146347
2015-04-29,1013714.8040382159
2015-04-30,1014730.2151894732
2015-05-01,1016994.5231777502
2015-05-04,1023162.4967305285
2015-05-05,1012444.078842144
2015-05-06,1020264.1871217075
2015-05-07,1023720.5788309153
2015-05-08,1023501.1712897891
2015-05-11,1027838.2985647919
2015-05-12,1007639.5656078677
2015-05-13,1010505.0268655834
2015-05-14,1010123.5642738484
2015-05-15,1027170.8631699537
2015-05-18,1028915.4079295415
2015-05-19,1025184.8556422204
2015-05-20,1025411.3169723304
2015-05-21,1029541.5069051795
2015-05-22,1029590.4464305071
2015-05-25,1040090.8092825537
2015-05-26,1043098.1539663569
2015-05-27,1048204.9039000424
2015-05-28,1050034.7684594626
2015-05-29,1047461.2646232214
2015-06-01,1052376.1489749157
2015-06-02,1047431.2736149892
2015-06-03,1055701.665305587
2015-06-04,1047352.2311713804
2015-06-05,1057781.8340367214
2015-06-08,1053335.7789374013
2015-06-09,1061836.1683353295
2015-06-10,1062376.6951138652
2015-06-11,1050922.1912435947
2015-06-12,1057681.4553642678
2015-06-15,1053790.3589228247
2015-06-16,1044778.8005120392
2015-06-17,1039454.9541555453
2015-06-18,1048435.5176420661
2015-06-19,1054759.9917106647
2015-06-22,1050986.3050925122
2015-06-23,1041921.3062344883
2015-06-24,1029608.6020136946
2015-06-25,1003815.8536941381
2015-06-26,997464.3210643413
2015-06-29,996613.6717238105
2015-06-30,997874.3349871256
2015-07-01,1001216.5626237273
2015-07-02,1000599.2218805734
2015-07-03,1021584.059163172
2015-07-06,1021135.8051494722
2015-07-07,1038443.2214851832
2015-07-08,1036195.868184678
2015-07-09,1045547.9649603489
2015-07-10,1037304.1588970235
2015-07-13,1036727.9737514073
2015-07-14,1036526.2299079853
2015-07-15,1043887.8756215625
2015-07-16,1048699.3196271956
2015-07-17,1049312.637797174
2015-07-20,1048563.0692616359
2015-07-21,1040732.1085140557
2015-07-22,1028375.445207715
2015-07-23,1038129.1062147936
2015-07-24,1042892.2477671972
2015-07-27,1043507.1921632275
2015-07-28,1060263.060917791
2015-07-29,1068201.114113006
2015-07-30,1056235.7443989133
2015-07-31,1053609.2622475608
2015-08-03,1056247.1632043808
2015-08-04,1051181.9488263768
2015-08-05,1047413.4039144579
2015-08-06,1050558.0017095492
2015-08-07,1044600.4199844084
2015-08-10,1054174.113157468
2015-08-11,1057509.0484148941
2015-08-12,1051104.9168834314
2015-08-13,1055414.4748443477
2015-08-14,1042390.8433865393
2015-08-17,1047137.7524714147
2015-08-18,1051790.1882369753
2015-08-19,1045287.7208016765
2015-08-20,1038858.641934541
2015-08-21,1026553.8834158508
2015-08-24,1032166.3969637658
2015-08-25,1040685.6387127899
2015-08-26,1027910.3976842384
2015-08-27,1035358.5883630249
2015-08-28,1049801.5574306985
2015-08-31,1052180.4523007292
2015-09-01,1064899.1448208564
2015-09-02,1063430.8967890353
2015-09-03,1071956.5287993213
2015-09-04,1074798.077638825
2015-09-07,1059747.2762425835
2015-09-08,1062919.7879350195
2015-09-09,1063515.2616278615
2015-09-10,1063956.1291650797
2015-09-11,1069442.2744979681
2015-09-14,1078162.0006484548
2015-09-15,1085292.2654766375
2015-09-16,1087247.072501069
2015-09-17,1072439.9505712886
2015-09-18,1057922.8696071878
2015-09-21,1071527.4774229801
2015-09-22,1076903.4953590948
2015-09-23,1062128.9146301039
2015-09-24,1069247.9793684036
2015-09-25,1063696.6683174062
2015-09-28,1064862.9204572646
2015-09-29,1061451.9122481428
2015-09-30,1042746.7272998381
2015-10-01,1058873.4806475367
2015-10-02,1065207.255475866
2015-10-05,1078116.1131030112
2015-10-06,1079033.1346941344
2015-10-07,1082609.917643222
2015-10-08,1089443.49247041
2015-10-09,1085101.1209359858
2015-10-12,1093696.5146295195
2015-10-13,1077932.7293743193
2015-10-14,1077419.7915366832
